MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-09-10 09:00:00,삼방동,7.0,15.0,,0.27,0.0016,0.008,9.0,9.0
2023-08-20 13:00:00,삼방동,16.0,21.0,0.034,0.56,0.0019,0.007,8.0,13.0
2023-09-07 15:00:00,삼방동,6.0,19.0,0.05,,0.0014,0.004,9.0,15.0
2023-11-16 19:00:00,삼방동,15.0,21.0,0.03,0.38,0.0017,0.015,11.0,19.0
2023-05-19 08:00:00,삼방동,2.0,1.0,0.048,0.1,0.002,0.007,5.0,8.0
2023-08-29 02:00:00,삼방동,10.0,15.0,0.023,0.27,0.0021,0.004,8.0,2.0
2023-09-06 21:00:00,삼방동,11.0,23.0,,0.18,0.0013,0.004,9.0,21.0
2023-12-31 23:00:00,삼방동,10.0,23.0,0.0296,0.46,0.0017,0.0131,12.0,23.0
2023-09-11 08:00:00,삼방동,14.0,21.0,,0.35,0.0017,0.017,9.0,8.0
2023-10-27 02:00:00,삼방동,,,,,,,10.0,2.0
2023-10-22 06:00:00,삼방동,3.0,17.0,0.021,0.27,0.0015,0.012,10.0,6.0
2023-10-04 04:00:00,삼방동,13.0,17.0,0.02,0.28,0.0018,0.008,10.0,4.0
,삼방동,7.0,13.0,0.018,0.4,0.003,0.021,,
2023-08-23 17:00:00,삼방동,11.0,23.0,0.016,0.35,0.0018,0.005,8.0,17.0
2023-08-18 08:00:00,삼방동,9.0,17.0,0.004,0.31,0.0016,0.014,8.0,8.0
2023-08-05 15:00:00,삼방동,12.0,19.0,0.041,0.39,0.0026,0.007,8.0,15.0
2023-10-14 07:00:00,삼방동,10.0,17.0,0.021,0.34,0.0018,0.017,10.0,7.0
2023-02-20 11:00:00,삼방동,9.0,33.0,0.035,0.3,0.003,0.011,2.0,11.0
2023-05-21 23:00:00,삼방동,14.0,33.0,0.044,0.2,0.002,0.01,5.0,23.0
2023-10-29 15:00:00,삼방동,11.0,25.0,0.055,0.43,0.0023,0.007,10.0,15.0
2023-04-03 20:00:00,삼방동,8.0,23.0,0.054,0.27,0.002,0.009,4.0,20.0
2023-09-13 18:00:00,삼방동,10.0,21.0,0.053,0.4,0.0011,0.008,9.0,18.0
2023-07-12 10:00:00,삼방동,3.0,1.0,0.026,0.38,,0.014,7.0,10.0
2023-03-16 02:00:00,삼방동,4.0,15.0,0.02,0.3,0.002,0.016,3.0,2.0
2023-03-28 04:00:00,삼방동,15.0,29.0,0.027,0.3,0.002,0.014,3.0,4.0
2023-07-13 09:00:00,삼방동,7.0,15.0,0.023,0.54,,0.02,7.0,9.0
2023-09-17 19:00:00,삼방동,2.0,15.0,0.03,0.37,0.0018,0.01,9.0,19.0
2023-03-17 08:00:00,삼방동,10.0,29.0,0.041,0.4,0.003,0.01,3.0,8.0
2023-08-25 10:00:00,삼방동,9.0,21.0,0.022,0.45,0.002,0.014,8.0,10.0
2023-12-25 21:00:00,삼방동,21.0,35.0,0.0246,0.42,0.002,0.0188,12.0,21.0
2023-08-10 21:00:00,삼방동,3.0,7.0,0.021,0.35,0.0016,0.007,8.0,21.0
2023-01-16 01:00:00,삼방동,9.0,19.0,0.03,,0.003,0.004,1.0,1.0
2023-08-09 06:00:00,삼방동,7.0,13.0,0.014,0.37,0.0011,0.003,8.0,6.0
2023-10-30 11:00:00,삼방동,14.0,41.0,0.031,0.51,0.0032,0.024,10.0,11.0
2023-01-04 09:00:00,삼방동,15.0,42.0,0.019,0.3,0.004,0.018,1.0,9.0
2023-06-03 13:00:00,삼방동,18.0,35.0,0.086,0.46,0.0027,0.01,6.0,13.0
2023-04-08 06:00:00,삼방동,5.0,17.0,0.045,0.23,0.002,0.007,4.0,6.0
2023-02-15 08:00:00,삼방동,5.0,5.0,0.034,0.3,0.002,0.008,2.0,8.0
2023-02-01 15:00:00,삼방동,19.0,47.0,0.058,0.4,0.003,0.008,2.0,15.0
2023-03-01 22:00:00,삼방동,34.0,35.0,0.052,0.4,0.003,0.009,3.0,22.0
2023-07-23 19:00:00,삼방동,5.0,9.0,0.039,0.38,0.0013,0.006,7.0,19.0
2023-06-08 12:00:00,삼방동,,,,,,,6.0,12.0
2023-05-01 08:00:00,삼방동,15.0,65.0,0.061,0.31,0.003,0.007,5.0,8.0
,삼방동,27.0,31.0,0.001,0.8,0.003,0.03,,
2023-09-01 03:00:00,삼방동,6.0,11.0,0.017,0.49,0.0013,0.007,9.0,3.0
2023-06-07 18:00:00,삼방동,,,,,,,6.0,18.0
2023-05-11 04:00:00,삼방동,22.0,41.0,0.034,0.36,0.002,0.012,5.0,4.0
2023-03-31 07:00:00,삼방동,34.0,69.0,0.023,0.53,0.003,0.039,3.0,7.0
2023-12-19 22:00:00,삼방동,9.0,23.0,0.0162,0.34,0.0029,0.0218,12.0,22.0
2023-04-19 23:00:00,삼방동,22.0,49.0,0.024,0.42,0.003,0.017,4.0,23.0
2023-10-14 12:00:00,삼방동,17.0,31.0,0.054,0.43,0.0034,0.015,10.0,12.0
2023-07-26 06:00:00,삼방동,11.0,15.0,0.008,0.24,0.0014,0.005,7.0,6.0
2023-02-14 02:00:00,삼방동,14.0,19.0,0.033,0.5,0.002,0.011,2.0,2.0
2023-09-07 01:00:00,삼방동,12.0,25.0,,0.17,0.0013,0.003,9.0,1.0
2023-08-20 21:00:00,삼방동,8.0,15.0,0.022,0.48,0.0015,0.009,8.0,21.0
2023-11-27 13:00:00,삼방동,29.0,65.0,0.006,0.55,0.0037,0.051,11.0,13.0
2023-12-06 23:00:00,삼방동,67.0,87.0,0.0539,0.61,0.0026,0.0115,12.0,23.0
,삼방동,1.0,7.0,0.018,0.36,0.0011,0.002,,
2023-07-21 15:00:00,삼방동,19.0,23.0,0.077,0.3,0.002,0.006,7.0,15.0
2023-07-12 22:00:00,삼방동,10.0,21.0,0.036,0.42,,0.007,7.0,22.0
,삼방동,6.0,19.0,0.04,0.25,0.002,0.011,,
2023-02-08 10:00:00,삼방동,58.0,79.0,0.01,0.8,0.004,0.046,2.0,10.0
2023-11-07 09:00:00,삼방동,6.0,25.0,0.026,0.29,0.0022,0.012,11.0,9.0
2023-02-01 05:00:00,삼방동,17.0,31.0,0.005,0.6,0.003,0.047,2.0,5.0
2023-03-14 19:00:00,삼방동,11.0,49.0,0.038,0.3,0.002,0.022,3.0,19.0
2023-11-10 22:00:00,삼방동,8.0,17.0,0.019,0.32,0.0021,0.017,11.0,22.0
2023-10-30 09:00:00,삼방동,15.0,39.0,0.006,0.62,0.0028,0.033,10.0,9.0
